Direccion,Numero,geo_point_2d
Gascó Oliag - Primado Reig,117,"39.47925133992885,-0.357065317141581"
Alfahuir - Duque de Mandas,127,"39.49059138177909,-0.3644463333304693"
Almazora - Benimuslem,129,"39.485975369089516,-0.3699453557741905"
Convento Carmelitas - Alboraya,130,"39.483238360081586,-0.370210358642677"
Maximiliano Thous - Luz Casanova,134,"39.48765637635625,-0.37333936513208965"
Jerónimo Monsoriu - Alcalde Cano Coloma,151,"39.464669282422186,-0.33711726031421224"
Gregorio Gea - Profesor Beltrán Báguena,142,"39.48192036501599,-0.38965942617943544"
Marqués de San Juan - Diputat Lluís Lucía,144,"39.4787793569025,-0.39548044804080085"
Pie de la Cruz - Rejas,147,"39.47320133107913,-0.3802074001545322"
Pio XII - Menéndez PIdal (Nuevo Centro),143,"39.4795373575288,-0.39093643241708165"
Av. del Cid - Julián Peña,200,"39.467737319045916,-0.3932144497376184"
San Clemente - Hospital Arnau de Vilanova,227,"39.49024839844318,-0.40293146422681364"
Plaza Músico Espí,234,"39.49649940567526,-0.3736443597891149"
Florista - T4 (Palau de Congressos),239,"39.4969854198013,-0.39996444953107335"
Fray Juanípero Serra - Torrente,212,"39.46148430130945,-0.40039647823746194"
Traginers - Pedrapiquers,260,"39.45955629873093,-0.4072175039832668"
Corts Valencianes - La Safor,226,"39.49086439918327,-0.3988594505654264"
Manuel de Falla - Hernández Lázaro,221,"39.475270348637764,-0.4028534760386356"
Valle de la Ballestera - Hospital Nueve de Octubre,223,"39.47855835893999,-0.4011874677803583"
Músico Ayllón - Francisco Dolz,215,"39.46567131414367,-0.39674846254882856"
Camp del Turia - Corts Valencianes,240,"39.495004413973305,-0.40154745608135123"
"Plaza Luis Cano, 5",268,"39.50144544298018,-0.41849350927046264"
Ninot - Regino Mas,270,"39.50007542649037,-0.39288942312141745"
Olimpia Arozena Torres - Juan Bautista Vives,218,"39.47074033078547,-0.3973844614710405"
Maestro Rodrigo - Manuel de Falla,222,"39.47689335174765,-0.39728245609920837"
Campos Crespo - Juan de Garay,210,"39.45555328036534,-0.39671647037206986"
Av. del Cid - Burgos,216,"39.469162243634074,-0.3994613007254756"
Gaspar Aguilar - Músico Penella,209,"39.45208226727133,-0.39301546105732643"
Valle de la Ballestera - Pio Baroja,244,"39.47850636088407,-0.40613648554970433"
Tres Cruces - Pio XI,250,"39.456352245577065,-0.4008070181198941"
Tres Forques - Turís,256,"39.46396330656933,-0.39223544845537966"
Pintor Rafael Solves - Jose Soto Mico,258,"39.43982822413676,-0.3891374575312111"
Tres Cruces - Segunda República Española,249,"39.459506295875165,-0.4027404883331656"
Arquitecto Segura del Lago - Camino Nuevo de Picaña,251,"39.45583028505104,-0.4044134972721287"
José Meliá Castelló - Campos Crespo,253,"39.45272627278094,-0.4011014879360589"
Tomas de Villarroya - San Vicente,255,"39.447703249066144,-0.38602944085901075"
Alcasser - Poeta Alberto Lista,265,"39.470973337167365,-0.40811749816977394"
Veles e Vents,276,"39.46197526682713,-0.32376521655842594"
Regne de Valencia - Almirante Cadarso,35,"39.46374929341137,-0.36699436340059455"
Guillem de Castro - San Pedro Pascual,6,"39.472798331478145,-0.38408341393871137"
Plaza de la Reina - Mar,8,"39.473881223660634,-0.3752982847143531"
Fernando el Católico - Cuenca,24,"39.469077319212495,-0.3840274173384119"
Regne de Valencia - Doctor Sumsi,34,"39.46412229654908,-0.36996137299092113"
"Barcas, 11",40,"39.470466319701956,-0.3748243837183276"
Alfonso el Magnánimo - Nave,13,"39.4720623227334,-0.37087436964085335"
Ribera - Plaza Ayuntamiento,15,"39.46908831533384,-0.3756373880434071"
Huesca - Barón de Cárcer,14,"39.46896731649349,-0.37972440222295445"
Fernando el Católico - Erudito Orellana,23,"39.471628328748515,-0.3861784216967592"
Salamanca - Conde Altea,31,"39.467365304622646,-0.3650283531086902"
General Urrutia - Granada,41,"39.458912276426375,-0.36477635908979195"
Av. Puerto - Plaza Tribunal de les Aigües,71,"39.46038026686525,-0.33353125122308164"
Francia - Menorca,56,"39.45842126509135,-0.3444052893928658"
Plaza España,58,"39.46621830848607,-0.3815864106638383"
Baleares - Lebón,60,"39.46223128102797,-0.3517763125261459"
Ramiro de Maeztu - Peris Brell,72,"39.467257201162404,-0.34644628196214244"
Campoamor - Músico Ginés,76,"39.47008330347364,-0.343461277578989"
Blasco Ibañez - Aragón,92,"39.47586032883543,-0.35596831583559707"
Blasco Ibañez - Clariano,94,"39.47537832465668,-0.35158330144926053"
República Argentina - Campoamor,75,"39.472113313853896,-0.35170130420295115"
Molinell - Calderón de la Barca,77,"39.48497336307338,-0.36566734195835493"
"Blasco Ibañez, 23 (F. Filosofía y Psicología)",89,"39.47780233689744,-0.3593183259089267"
Luis García Berlanga Martí - Menorca,52,"39.45603425797373,-0.3463402980947426"
Moreras (Oceanográfico),51,"39.45218324552497,-0.3472273049060467"
Alameda - Pintor Monleón,57,"39.46447629179199,-0.3582563324315247"
Av Puerto 19 (Telefónica),63,"39.46777930285978,-0.358414330727018"
Av. Puerto - Doctor Manuel Candela,65,"39.465516292011046,-0.3508373061951808"
Juan Verdeguer - Toneleros,67,"39.45886026320377,-0.33679826304022287"
"Blasco Ibañez, 28 (F. Geografía e Historia)",88,"39.477512336096844,-0.36114233248377353"
Blasco Ibañez - Yecla,96,"39.47355431688417,-0.3482142912637639"
Grabador Jordan - Escultor Pastor,91,"39.44412522887422,-0.36757337969703135"
Naranjos (Magisterio),95,"39.47983533734356,-0.34611927939668474"
Blasco Ibañez 121,97,"39.47306831276613,-0.3431322739648798"
San Pancracio - Periodista Llorente,138,"39.48819038284581,-0.38422240207482833"
Llano de la Zaidía - Doctor Olóriz,153,"39.48305822805289,-0.3805912745331588"
Salamanca - Reina Doña Germana,155,"39.46495329574819,-0.3630783484267159"
Paseo Neptuno 32-34,163,"39.46443727525528,-0.3234012136184579"
Pavía - Espadán,165,"39.471409299035706,-0.3245702116150898"
Pavía - Acequia de la Cadena,167,"39.474908310742784,-0.3246102088459378"
"Zapadores, 23",181,"39.45799927509706,-0.3681913713233589"
Armada Española - Mariano Cuber,162,"39.46360427573933,-0.3297952360224295"
Ángel Villena - Ausias March,187,"39.447960241518516,-0.3688183809361798"
Doctor Lluch - Virgen del Sufragio,158,"39.46669828513057,-0.3277192268301427"
Ausias March - Av. de la Plata,183,"39.45262025913349,-0.3722843899417025"
Bombero Ramón Duart - Hermanos Maristas,184,"39.45278225629358,-0.36557036636455215"
Monduber - Peset Aleixandre,174,"39.489438388167024,-0.38664740957644866"
Ramón Llull - Serpis,102,"39.47583332394092,-0.346720283882565"
Albalat dels Tarongers - Paseo Facultades,104,"39.478386332978474,-0.3472752845405608"
UPV Informática,114,"39.4818043438759,-0.346591279156021"
Albalat dels Tarongers - Professor Ernest Lluch,106,"39.47674432466283,-0.34138726522688073"
Doctor Vicente Zaragozá - Emilio Baró,120,"39.484880361257815,-0.36204632906281087"
Marino Blas de Lezo (estación Cabañal Adif),101,"39.47022899172744,-0.3348422811122132"
Albocácer - Vinaroz,123,"39.487671371814656,-0.36484133609518726"
Constitución - Reus,135,"39.48570237196362,-0.37850138478156414"
Azagador de Alboraya - Dolores Marqués,124,"39.48850137319014,-0.3619553259600363"
Alfahuir - José Chabas Bordehore,126,"39.49309838788837,-0.36010431604895277"
Alfahuir - Peñiscola,128,"39.48876637693274,-0.367544345093534"
Platero Suárez - Milagrosa,132,"39.48528636793778,-0.3734343681182198"
Economista Gay - Luis Crumiere,137,"39.48903338344832,-0.3798963873712934"
Manuel Candela - Rodriguez de Cepeda,150,"39.46772129856667,-0.35060930364544307"
Peris y Valero - Salamanca,149,"39.462934287947085,-0.36179534600499663"
Fontanars dels Aforins - Jacinto Labaila,197,"39.458184286737165,-0.39233345436447337"
Plaza Badajoz,145,"39.48154736759815,-0.398395456094638"
Estación AVE Joaquín Sorolla,194,"39.4607722298068,-0.38179930448705707"
Jerónimo Muñoz - Gaspar Aguilar,196,"39.45957528956863,-0.3880664379854734"
San Juan Bosco - Santiago Rusiñol,233,"39.497160406039164,-0.36943734517384297"
Rio Segre - Rafael Company,236,"39.49506640496422,-0.38227839001583847"
Levante U.D. - Ecuador,237,"39.494758407776374,-0.39103842063587124"
Albacete - Maluquer,243,"39.46282029901061,-0.3845424236611566"
Doctor Nicasio Benlloch - L'Horta Sud,228,"39.4936924079167,-0.398671446907537"
San Vicente Paul - Santiago Rusiñol,232,"39.49464439592328,-0.36575333473149996"
Tres Forques - Colonia Española de Mexico,262,"39.463472312903384,-0.40922550688289966"
Fray Junípero Serra - Vall d'Uixó,211,"39.45872629171394,-0.3977574716661004"
Tres Cruces - Músico Ayllón,247,"39.467410323935766,-0.4055734914728698"
Salvador Cerveró - Carlos Cortina,271,"39.49927942267903,-0.38989141267304944"
Moraira - Alta del Mar,273,"39.450305232524904,-0.3332722584595297"
Castán Tobeñas - Rincon de Ademuz,219,"39.47265724610551,-0.40303029799024204"
Av. del Cid - Marconi,264,"39.46916033373618,-0.4144325204450301"
Canal de Navarrés - Maestro Rodrigo,266,"39.49028940014262,-0.40637147642320165"
Vicente la Roda - Ingeniero Fausto Elio,272,"39.48062333339468,-0.33219023115385166"
Jorge Comin (Metge) - Terrateig,224,"39.480568366964896,-0.40358847435527895"
Aitana - Florista,229,"39.493104403991694,-0.39480643424749534"
Corts Valencianes - General Avilés,204,"39.485843380594176,-0.3965874461307865"
Carteros - Mossen Febrer,208,"39.451692263769644,-0.38857844617931064"
Nicasio Benlloch - Amics dels Corpus,205,"39.48928739053543,-0.3930904323547156"
"Giorgeta, 64",207,"39.45539327294658,-0.381905420300487"
Alcañiz - Cambrils,231,"39.49507240298451,-0.3786213772644184"
La Safor - Maestro Rodrigo,242,"39.487907391410516,-0.4041974712326189"
Tres Cruces - Hospital General,246,"39.469090330003425,-0.4065094941412157"
Tres Cruces - Jose Maria Mortes Lerma,248,"39.46284030885798,-0.40496949382893443"
Doctor Tomás Sala - Carteros,254,"39.447714251158565,-0.3899174536874086"
"Plaza Salvador Soria, 8",257,"39.44525124234686,-0.38910445245389036"
Plaza Xuquer - Vinalopó,261,"39.47667632834523,-0.35037729588168837"
Padre Esteban Pernet - Casa Misericordia,263,"39.467043324648515,-0.4096445056541294"
Beniferri - Vicent Tomás Martí,267,"39.49416841275147,-0.4059294716064297"
"Campamento, 81",269,"39.49990744160243,-0.42626353678444817"
